3 RAJESH LILOTHIA,,M  49 SC INC Hand  10723  43,,10766,9.23
4 VEENA ANAND,,F  48 SC IND BUCKET  1050  1,,1051,0.9
5 ALOK NANDAN,,M  28 SC BSP Elephant  766  6,,772,0.66
6 None of the Above,,NOTA NOTA  462  7,,469,0.4
7 SURESH KUMAR,,M  37 SC IND Battery  464  0,,464,0.4
,,Torch,,,
TURNOUT,,TOTAL:  116307  313,,116620,68.11
Constituency,25. MOTI NAGAR,TOTAL ELECTORS :,,162955,
1 SHIV CHARAN GOEL,,M  53 GEN AAAP Broom  60097  126,,60223,53.13
2 SUBHASH SACHDEVA,,M  59 GEN BJP Lotus  44852  150,,45002,39.7
3 RAJ KUMAR MAGGO,,M  47 GEN INC Hand  6085  26,,6111,5.39
4 AVINASH GUPTA,,M  40 GEN BSP Elephant  665  1,,666,0.59
5 SANJEEV DIWAN,,M  43 GEN IND Bat  566  0,,566,0.5
6 None of the Above,,NOTA NOTA  469  2,,471,0.42
7 SANJEEV GUPTA,,M  44 GEN IND Pen Nib  321  0,,321,0.28
,,with,,,
,,Seven,,,
,,Rays,,,
TURNOUT,,TOTAL:  113055  305,,113360,69.57
Constituency,26. MADIPUR  (SC),TOTAL ELECTORS :,,163108,
1 GIRISH SONI,,M  51 SC AAAP Broom  66433  138,,66571,57.24
2 RAJ KUMAR,,M  46 SC BJP Lotus  37039  145,,37184,31.97
3 MALA RAM GANGWAL,,M  65 SC INC Hand  10316  34,,10350,8.9
4 None of the Above,,NOTA NOTA  593  8,,601,0.52
5 LALA RAM,,M  40 SC BSP Elephant  598  2,,600,0.52
6 JITENDER KUMAR,,M  34 SC PMPT Batsman  511  1,,512,0.44
7 PURAN CHAND,,M  35 SC IND Pen Nib  477  0,,477,0.41
,,with,,,
,,Seven,,,
,,Rays,,,
TURNOUT,,TOTAL:  115967  328,,116295,71.3
Constituency,27. RAJOURI GARDEN,TOTAL ELECTORS :,,163042,
1 JARNAIL SINGH,,M  41 GEN AAAP Broom  54741  175,,54916,46.55
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
3,A MEENAKSHI CHANDELA,F  30 GEN INC Hand  14118  49,,14167,12.01
,A,,,,
4,GURBAKSH SINGH,M  44 GEN SHS Bow &  1706  0,,1706,1.45
,,Arrow,,,
5,None of the Above,NOTA NOTA  643  6,,649,0.55
6,MOIN KHAN,M  39 GEN BSP Elephant  382  2,,384,0.33
7,JARNAIL SINGH S/O AJIT,M  57 GEN IND Battery  382  0,,382,0.32
,SINGH,Torch,,,
8,JARNAIL SINGH S/O,M  60 GEN IND Razor  280  0,,280,0.24
,SOHAN SINGH,,,,
9,SUMIT,M  30 GEN IND Green  240  0,,240,0.2
,,Chilli,,,
10,SUMAN CHANDILA,F  39 GEN IND Bat  101  0,,101,0.09
11,LOKESH,M  31 GEN IND FLUTE  88  0,,88,0.07
12,LIVIS CHANDELA,M  30 GEN IND Brush  74  0,,74,0.06
13,PRAVEEN KUMAR,M  44 GEN IND Trumpet  39  0,,39,0.03
14,JASVINDRA SINGH,M  48 GEN IND Walking  36  0,,36,0.03
,,Stick,,,
15,BHAGAT SINGH,M  31 GEN IND BUCKET  29  0,,29,0.02
TURNOUT,,TOTAL:  117552  419,,117971,72.36
Constituency,28. HARI NAGAR,TOTAL ELECTORS :,,163708,
1,JAGDEEP SINGH,M  44 GEN AAAP Broom  64982  416,,65398,58.51
2,AVTAR SINGH HIT,M  69 GEN BJP Lotus  38590  364,,38954,34.85
3,CHANDER PARKASH,M  53 GEN INC Hand  6083  69,,6152,5.5
4,None of the Above,NOTA NOTA  553  19,,572,0.51
5,JAI PRAKASH MANAV,M  56 GEN BSP Elephant  551  4,,555,0.5
6,BALJEET KAUR,F  41 GEN SHS Bow &  148  2,,150,0.13
,,Arrow,,,
TURNOUT,,TOTAL:  110907  874,,111781,68.28
Constituency,29. TILAK NAGAR,TOTAL ELECTORS :,,146940,
1,JARNAIL SINGH,M  33 GEN AAAP Broom  56901  279,,57180,55.1
2,RAJIV BABBAR,M  45 GEN BJP Lotus  36920  370,,37290,35.93
3,DULI CHAND LOHIA,M  54 GEN INC Hand  7265  38,,7303,7.04
4,JARNAIL SINGH,M  42 GEN IND Battery  569  1,,570,0.55
,,Torch,,,
5,None of the Above,NOTA NOTA  459  5,,464,0.45
6,RAJIV BABBAR,M  26 GEN RABP Bat  225  28,,253,0.24
7,VIJAY BAHADUR,M  61 GEN BSP Elephant  248  2,,250,0.24
8,PRADEEP KUMAR LOHIA,M  31 GEN IND Dao  238  0,,238,0.23
9,VISHAL SHARMA,M  39 GEN IND Balloon  80  0,,80,0.08
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
10,CHATTAR SINGH,M  40 GEN SHS Bow &  67  1,,68,0.07
,,Arrow,,,
11,DULI CHAND,M  60 GEN IND Chappals  47  1,,48,0.05
12,BABU SINGH DUKHIYA,M  58 SC HCP Candles  37  0,,37,0.04
TURNOUT,,TOTAL:  103056  725,,103781,70.63
onstituency,30. JANAKPURI,TOTAL ELECTORS :,,174133,
1,RAJESH RISHI,M  50 GEN AAAP Broom  71506  296,,71802,57.72
2,PROF. JAGDISH MUKHI,M  72 GEN BJP Lotus  45853  369,,46222,37.16
3,SURESH KUMAR,M  46 GEN INC Hand  4649  50,,4699,3.78
4,None of the Above,NOTA NOTA  475  8,,483,0.39
5,HARI PRAKASH SINGH,M  45 GEN BSP Elephant  468  3,,471,0.38
6,RAVINDRA NATH TIWARI,M  34 GEN IND Dao  223  0,,223,0.18
7,ANIL GUPTA,M  49 GEN IND Battery  213  1,,214,0.17
,,Torch,,,
8,RAJENDER SHARMA,M  58 GEN HCP Candles  162  0,,162,0.13
9,CHARANJIT SINGH SODHI,M  41 GEN IND Violin  63  0,,63,0.05
10,PARAMJIT SINGH SAINI,M  58 GEN SHS Bow &  49  0,,49,0.04
,,Arrow,,,
TURNOUT,,TOTAL:  123661  727,,124388,71.43
onstituency,31. VIKASPURI,TOTAL ELECTORS :,,325246,
1,MAHINDER YADAV,M  51 GEN AAAP Broom  132128  309,,132437,62.53
2,SANJAY SINGH,M  40 GEN BJP Lotus  54408  364,,54772,25.86
3,NAND KISHORE,M  44 GEN INC Hand  19453  87,,19540,9.23
4,RADHEY SHYAM,M  61 GEN BSP Elephant  2124  15,,2139,1.01
5,BHARTI SETH,F  51 GEN IND Battery  1105  1,,1106,0.52
,,Torch,,,
6,None of the Above,NOTA NOTA  781  9,,790,0.37
7,MOHD. NAEEM,M  64 GEN NCP Clock  289  2,,291,0.14
8,SUSHILA DAVI,F  38 GEN IND Auto-  282  1,,283,0.13
,,Rickshaw,,,
9,ANSHU KUMAR,M  29 GEN GAAP Plate  251  1,,252,0.12
,,Containing,,,
,,Food,,,
10,MONCHI,F  29 SC AMKP Sewing  192  0,,192,0.09
,,Machine,,,
TURNOUT,,TOTAL:  211013  789,,211802,65.12
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
4,ABDUL HAMID BARSHID,M  60 GEN BSP Elephant  880  4,,884,0.54
5,None of the Above,NOTA NOTA  667  5,,672,0.41
6,B. K. JHA,M  54 GEN IND Battery  332  0,,332,0.2
,,Torch,,,
7,NARENDER KUMAR,M  56 GEN IND FLUTE  292  3,,295,0.18
8,JAGPAL SINGHAL,M  47 GEN KAJP School  259  0,,259,0.16
,,Bag,,,
9,NARESH KUMAR,M  39 GEN IND Bat  227  1,,228,0.14
10,SACHIN KAPOOR,M  38 GEN IND Auto-  226  0,,226,0.14
,,Rickshaw,,,
11,FAQIR CHAND VERMA,M  67 GEN IND Gas Stove  142  0,,142,0.09
12,SHYAM BHARTEEY,M  45 GEN GAAP Plate  95  1,,96,0.06
,,Containing,,,
,,Food,,,
TURNOUT,,TOTAL:  164488  692,,165180,71.12
Constituency,33. DWARKA,TOTAL ELECTORS :,,199223,
1,ADARSH SHASTRI,M  41 GEN AAAP Broom  79524  205,,79729,59.08
2,PARDUYMN RAJPUT,M  51 GEN BJP Lotus  40051  312,,40363,29.91
3,MAHABAL MISHRA,M  61 GEN INC Hand  12457  75,,12532,9.29
4,AMIT CHAUHAN,M  30 GEN BSP Elephant  602  6,,608,0.45
5,None of the Above,NOTA NOTA  331  1,,332,0.25
6,PREMCHAND,"M  55 GEN CPM Hammer,  264  0",,264,0.2
,,Sickle and,,,
,,Star,,,
7,VIVEK KUMAR PANDEY,M  25 GEN IND Envelope  242  0,,242,0.18
8,SUSHIL BHAGAT,M  25 GEN NYP Battery  219  0,,219,0.16
,,Torch,,,
9,AJAY KUMAR,M  41 GEN BVLP Balloon  178  0,,178,0.13
10,RAVI SINGH,M  36 GEN IND HOCKEY  127  1,,128,0.09
,,& BALL,,,
11,SURENDER KUMAR,M  42 SC RKSP Auto-  94  0,,94,0.07
,,Rickshaw,,,
12,ADARSH KUMAR,M  28 GEN IND Trumpet  80  2,,82,0.06
13,GAUTAM KUMAR,M  26 GEN IND Hat  77  0,,77,0.06
14,MUKESH KUMAR TANWAR,M  46 GEN IND Cup &  55  0,,55,0.04
,,Saucer,,,
15,KAMLESHWARI MISTRI,M  70 GEN PBI Air  49  0,,49,0.04
,,Conditione,,,
,,r,,,
TURNOUT,,TOTAL:  134350  602,,134952,67.74
Constituency,34. MATIALA,TOTAL ELECTORS :,,347396,
1,GULAB SINGH,M  36 GEN AAAP Broom  127115  550,,127665,54.91
2,RAJESH GAHLOT,M  50 GEN BJP Lotus  79967  694,,80661,34.7
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
3,SUMESH SHOKEEN,M  41 GEN INC Hand  20171  113,,20284,8.73
4,None of the Above,NOTA NOTA  1094  8,,1102,0.47
5,SURESH KUMAR PATEL,M  39 GEN RBHP Battery  727  1,,728,0.31
,,Torch,,,
6,SANJAY KUMAR,M  39 GEN BSP Elephant  713  10,,723,0.31
7,GULAB SINGH,M  65 GEN IND Brush  361  15,,376,0.16
8,RAM BILAS MISHRA,M  44 GEN IND Auto-  221  0,,221,0.1
,,Rickshaw,,,
9,SHRIPAL,M  38 SC IND Almirah  187  1,,188,0.08
10,VIRENDRA KUMAR RAI,M  60 GEN RJ Scissors  155  0,,155,0.07
11,RENU PODDAR,F  42 GEN PBI Television  127  0,,127,0.05
12,RAJESH KUMAR GAHLOT,M  38 GEN IND Pen Nib  120  5,,125,0.05
,,with,,,
,,Seven,,,
,,Rays,,,
13,RAM CHARAN SAHANI,M  25 GEN SHRP Table  71  0,,71,0.03
14,RAJESH,M  30 GEN IND Cauliflowe  54  1,,55,0.02
,,r,,,
TURNOUT,,TOTAL:  231083  1398,,232481,66.92
Constituency,35. NAJAFGARH,TOTAL ELECTORS :,,232919,
1,KAILASH GAHLOT,M  40 GEN AAAP Broom  55259  339,,55598,34.62
2,BHARAT SINGH,M  36 GEN INLD Spectacle  53743  300,,54043,33.65
,,s,,,
3,AJEET SINGH KHARKHARI,M  59 GEN BJP Lotus  38661  801,,39462,24.57
4,JAI KISHAN SHARMA,M  63 GEN INC Hand  8053  127,,8180,5.09
5,RAM SINGH,M  52 GEN BSP Elephant  1076  32,,1108,0.69
6,None of the Above,NOTA NOTA  529  6,,535,0.33
7,BHARAT SINGH,M  61 GEN IND Scissors  352  39,,391,0.24
8,BAIDYANATH SAH,M  49 GEN PBI Hat  349  1,,350,0.22
9,INDERJEET,M  39 GEN IND Gas Stove  292  3,,295,0.18
10,LALIT VASHIST,M  38 GEN IND Sewing  259  0,,259,0.16
,,Machine,,,
11,DHARAMBIR SINGH,M  49 GEN IND Bread  131  1,,132,0.08
12,KAILASH CHAND,M  51 GEN IND Basket  78  7,,85,0.05
,,containing,,,
,,Fruits,,,
13,AJIT SINGH,M  38 GEN RBHP CARPET  73  1,,74,0.05
14,NEELAM,F  41 GEN IND Tooth  69  1,,70,0.04
,,Brush,,,
TURNOUT,,TOTAL:  158924  1658,,160582,68.94
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
1,COL DEVINDER,M  49 GEN AAAP Broom  64780  226,,65006,54.99
,SEHRAWAT,,,,
2,SAT PRAKASH RANA,M  49 GEN BJP Lotus  45126  344,,45470,38.46
3,VIJAY SINGH LOCHAV,M  64 GEN INC Hand  5208  50,,5258,4.45
4,IMTIAZ,M  36 GEN IND Green  926  0,,926,0.78
,,Chilli,,,
5,YOGESH GAUR,M  62 GEN BSP Elephant  629  12,,641,0.54
6,None of the Above,NOTA NOTA  496  0,,496,0.42
7,PANKAJ KUMAR,M  30 GEN INLD Spectacle  415  6,,421,0.36
,,s,,,
TURNOUT,,TOTAL:  117580  638,,118218,63.38
Constituency,37. PALAM,TOTAL ELECTORS :,,227210,
1,BHAVNA GAUR,F  44 GEN AAAP Broom  82393  244,,82637,55.96
2,DHARM DEV SOLANKI,M  63 GEN BJP Lotus  51391  397,,51788,35.07
3,MADAN MOHAN,M  45 SC INC Hand  10464  65,,10529,7.13
4,RANBIR SINGH SOLANKI,M  50 GEN BSP Elephant  891  9,,900,0.61
5,DALIP KUMAR,M  35 GEN CPI Ears of  488  0,,488,0.33
,,Corn And,,,
,,Sickle,,,
6,None of the Above,NOTA NOTA  467  7,,474,0.32
7,VINOD KUMAR SACHAN,M  58 GEN IND Green  460  0,,460,0.31
,,Chilli,,,
8,SANJAY KUMAR SINGH,M  47 GEN IND Auto-  162  2,,164,0.11
,,Rickshaw,,,
9,KASHI NATH SAH,M  39 GEN IND Plate  155  0,,155,0.1
,,Containing,,,
,,Food,,,
10,SHIV KUMAR SAXENA,M  30 GEN HCP Candles  74  2,,76,0.05
TURNOUT,,TOTAL:  146945  726,,147671,64.99
Constituency,38. DELHI CANTT,TOTAL ELECTORS :,,132233,
1,SURENDER SINGH,M  36 GEN AAAP Broom  40063  70,,40133,51.82
2,KARAN SINGH TANWAR,M  62 GEN BJP Lotus  28810  125,,28935,37.36
3,SANDEEP TANWAR,M  38 GEN INC Hand  7065  22,,7087,9.15
4,GAYAN CHAND,M  58 GEN BSP Elephant  465  2,,467,0.6
5,None of the Above,NOTA NOTA  325  1,,326,0.42
6,ANIL KUMAR TANWAR,M  40 GEN IND Battery  210  0,,210,0.27
,,Torch,,,
7,SANDEEP,M  36 GEN IND Brief Case  98  0,,98,0.13
8,HEERA LAL,M  49 SC IND Stethosco  93  0,,93,0.12
,,pe,,,
9,NARESH KUMAR SHARMA,M  38 GEN HCP Candles  43  2,,45,0.06
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
10,MAHESH BHARDWAJ,M  66 GEN IND Air  26  0,,26,0.03
,,Conditione,,,
,,r,,,
11,RAJ KUMAR SAINI,M  50 GEN IND Almirah  24  0,,24,0.03
TURNOUT,,TOTAL:  77222  222,,77444,58.57
Constituency,39. RAJINDER NAGAR,TOTAL ELECTORS :,,182530,
1,VIJENDER GARG VIJAY,M  51 GEN AAAP Broom  61045  309,,61354,53.39
2,R. P. SINGH,M  53 GEN BJP Lotus  41063  240,,41303,35.94
3,BRAHM YADAV,M  62 GEN INC Hand  8888  83,,8971,7.81
4,PREM SINGH,M  46 SC BSP Elephant  1450  17,,1467,1.28
5,None of the Above,NOTA NOTA  469  3,,472,0.41
6,SHABBIR KHAN,M  53 GEN IND Battery  397  15,,412,0.36
,,Torch,,,
7,SWADESH OHRI,M  74 GEN ATBP Bat  278  0,,278,0.24
8,SUNIL KUMAR,M  40 SC NADP Stethosco  231  1,,232,0.2
,,pe,,,
9,SARITA KUMARI,F  44 GEN IND Diesel  193  33,,226,0.2
,,Pump,,,
10,ASLAM PARVEZ KHAN,M  45 GEN IND CARPET  93  4,,97,0.08
11,SARFUDDIN ALAM,M  42 GEN IND Auto-  91  4,,95,0.08
,,Rickshaw,,,
TURNOUT,,TOTAL:  114198  709,,114907,62.95
Constituency,40. NEW DELHI,TOTAL ELECTORS :,,137924,
1,ARVIND KEJRIWAL,M  46 GEN AAAP Broom  56673  540,,57213,64.14
2,NUPUR SHARMA,F  29 GEN BJP Lotus  25277  353,,25630,28.73
3,KIRAN WALIA,F  70 GEN INC Hand  4708  73,,4781,5.36
4,None of the Above,NOTA NOTA  459  6,,465,0.52
5,SWAMI OM JI,M  58 GEN ABHM FLUTE  373  0,,373,0.42
6,ANIL KUMAR,M  38 GEN IND Battery  191  1,,192,0.22
,,Torch,,,
7,RAKESH KUMAR,M  38 SC BSP Elephant  165  3,,168,0.19
8,RAVI KUMAR,M  29 SC NCP Clock  100  0,,100,0.11
9,SUNIL KUMAR KANDUKURI,M  29 GEN IND Gas  93  1,,94,0.11
,,Cylinder,,,
10,MOHD. SIRAJ SAHIL,M  45 GEN SASAPT Television  47  1,,48,0.05
11,SANJEEV CHHIBBER,M  51 GEN NADP Stethosco  44  1,,45,0.05
,,pe,,,
12,SANDEEP SRIVASTAVA,M  48 GEN IND School  34  0,,34,0.04
,,Bag,,,
13,AJIT,M  26 GEN GAAP Plate  32  2,,34,0.04
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
14,PROFESSOR R N SINGH,M  57 GEN VSP Cup &  29  1,,30,0.03
,,Saucer,,,
TURNOUT,,TOTAL:  88225  982,,89207,64.68
Constituency,41. JANGPURA,TOTAL ELECTORS :,,142038,
1,PRAVEEN KUMAR,M  30 GEN AAAP Broom  43848  79,,43927,48.11
2,MANINDER SINGH DHIR,M  62 GEN BJP Lotus  23366  111,,23477,25.71
3,TARVINDER SINGH,M  55 GEN INC Hand  22620  42,,22662,24.82
,MARWAH,,,,
4,ASHOK,M  47 GEN BSP Elephant  379  3,,382,0.42
5,None of the Above,NOTA NOTA  314  0,,314,0.34
6,ANIL KUMAR,M  42 GEN IND Battery  163  1,,164,0.18
,,Torch,,,
7,YOGESH TALWAR,M  37 GEN IND FLUTE  127  0,,127,0.14
8,ANIL  SINGH,M  27 GEN SHS Bow &  118  0,,118,0.13
,,Arrow,,,
9,PARVEEN ARORA,M  45 GEN IND Brush  90  0,,90,0.1
10,VISHWANATH,M  35 SC NADP Stethosco  42  1,,43,0.05
,,pe,,,
TURNOUT,,TOTAL:  91067  237,,91304,64.28
Constituency,42. KASTURBA NAGAR,TOTAL ELECTORS :,,148043,
1,MADAN LAL,M  58 GEN AAAP Broom  50511  255,,50766,51.55
2,RAVINDER  CHOUDHRY,M  44 GEN BJP Lotus  34567  303,,34870,35.41
3,NEERAJ BASOYA,M  39 GEN INC Hand  11163  70,,11233,11.41
4,None of the Above,NOTA NOTA  422  1,,423,0.43
5,RAMESH KUMARI,F  51 SC BSP Elephant  315  2,,317,0.32
6,BRIJ PAL,M  46 GEN IND Razor  280  1,,281,0.29
7,BEER SINGH NEGI,M  54 GEN SSGP Battery  275  1,,276,0.28
,,Torch,,,
8,BISWAMBAR NAYAK,M  43 GEN IND Coconut  83  0,,83,0.08
9,REKHA WADHWA,F  44 GEN IND Pot  73  0,,73,0.07
10,LAXMI DEVI,F  32 SC BMUP Cot  56  0,,56,0.06
11,WG. CDR. (RETD.) K. K,M  53 GEN NADP Stethosco  33  1,,34,0.03
,.VERMA,pe,,,
12,MUKESH KUMAR SAXENA,M  54 GEN IND Dish  32  0,,32,0.03
,,Antenna,,,
13,SUBHASH KANSAL,M  54 GEN HCP Candles  25  1,,26,0.03
TURNOUT,,TOTAL:  97835  635,,98470,66.51
Constituency,43. MALVIYA NAGAR,TOTAL ELECTORS :,,139987,
1,SOMNATH BHARTI,M  40 GEN AAAP Broom  51051  145,,51196,54.99
2,DR. NANDANI SHARMA,F  45 GEN BJP Lotus  35067  232,,35299,37.91
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
3,DR. YOGANAND SHASTRI,M  69 GEN INC Hand  5519  36,,5555,5.97
4,None of the Above,NOTA NOTA  373  2,,375,0.4
5,DR. SUMAN DHARMVIR,F  45 SC BSP Elephant  293  0,,293,0.31
6,MARKNDAY SHARMA,M  31 GEN NAVP FLUTE  184  0,,184,0.2
7,SOMNATH,M  47 GEN IND Green  129  0,,129,0.14
,,Chilli,,,
8,RAMA KANT SHARMA,M  38 GEN IND Battery  74  0,,74,0.08
,,Torch,,,
TURNOUT,,TOTAL:  92690  415,,93105,66.51
Constituency,44. R K PURAM,TOTAL ELECTORS :,,150141,
1,PARMILA TOKAS,F  37 GEN AAAP Broom  54293  352,,54645,56.77
2,ANIL KUMAR SHARMA,M  43 GEN BJP Lotus  35245  332,,35577,36.96
3,LILA DHAR BHATT,M  46 GEN INC Hand  3982  60,,4042,4.2
4,MAHIPAL SINGH,M  52 GEN BSP Elephant  820  8,,828,0.86
5,None of the Above,NOTA NOTA  457  5,,462,0.48
6,KUSHMA DEVI,F  37 SC IND Battery  234  0,,234,0.24
,,Torch,,,
7,RAKESH KUMAR,M  45 GEN HND Coconut  132  1,,133,0.14
8,UDAIBIR SINGH TOKAS,M  52 GEN HCP Candles  118  2,,120,0.12
9,RAI SINGH,M  57 GEN RTRSP Auto-  59  0,,59,0.06
,,Rickshaw,,,
10,KULDEEP SINGH AHLAWAT,M  52 GEN IND Carrom  54  0,,54,0.06
,,Board,,,
11,M G RADHAKRISHNAN,M  42 GEN PMPT Batsman  43  0,,43,0.04
12,K JEEVAN RITA MURTHY,F  46 GEN RPI(A) Sewing  38  0,,38,0.04
,,Machine,,,
13,ASIF KHAN,M  35 GEN IND Almirah  21  0,,21,0.02
TURNOUT,,TOTAL:  95496  760,,96256,64.11
Constituency,45. MEHRAULI,TOTAL ELECTORS :,,181393,
1,NARESH YADAV,M  42 GEN AAAP Broom  57984  141,,58125,51.06
2,SARITA CHAUDHARY,F  41 GEN BJP Lotus  40955  219,,41174,36.17
3,SATBIR SINGH,M  60 GEN INC Hand  11977  88,,12065,10.6
4,D.K.CHOPRA,M  61 GEN IND Battery  1220  0,,1220,1.07
,,Torch,,,
5,None of the Above,NOTA NOTA  546  7,,553,0.49
6,SAROJ VERMA,F  49 GEN BSP Elephant  543  7,,550,0.48
7,VICHITRA GUPTA,F  42 GEN IND Auto-  141  2,,143,0.13
,,Rickshaw,,,
TURNOUT,,TOTAL:  113366  464,,113830,62.75
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
1,KARTAR SINGH TANWAR,M  52 GEN AAAP Broom  67431  214,,67645,54.29
2,BRAHM SINGH TANWAR,M  62 GEN BJP Lotus  45153  252,,45405,36.44
3,BALRAM TANWAR,M  57 GEN INC Hand  9289  50,,9339,7.5
4,AMIT VAID,M  41 GEN RLD Hand  623  4,,627,0.5
,,Pump,,,
5,None of the Above,NOTA NOTA  544  3,,547,0.44
6,BIJENDER,M  48 GEN BSP Elephant  497  6,,503,0.4
7,SANJAY KUMAR SINGH,M  46 GEN IND Auto-  267  0,,267,0.21
,,Rickshaw,,,
8,DINESH TANWAR,M  35 GEN IND Frock  171  0,,171,0.14
9,ARCHANA YADAV,F  30 GEN SHS Bow &  98  0,,98,0.08
,,Arrow,,,
TURNOUT,,TOTAL:  124073  529,,124602,67.32
Constituency,47. DEOLI  (SC),TOTAL ELECTORS :,,202275,
1,PRAKASH,M  26 SC AAAP Broom  96380  150,,96530,70.61
2,ARVIND KUMAR,M  38 SC BJP Lotus  32446  147,,32593,23.84
3,RAJESH CHAUHAN,M  44 SC INC Hand  4934  34,,4968,3.63
4,DALCHAND KAPIL,M  53 SC BSP Elephant  1555  14,,1569,1.15
5,None of the Above,NOTA NOTA  499  3,,502,0.37
6,PADMA RANI,F  47 SC HCP Candles  317  1,,318,0.23
7,SIYARAM RAJORA,M  45 SC SASAPT Television  221  2,,223,0.16
TURNOUT,,TOTAL:  136352  351,,136703,67.58
Constituency,48. AMBEDKAR NAGAR  (SC),TOTAL ELECTORS :,,139676,
1,AJAY DUTT,M  39 SC AAAP Broom  66387  245,,66632,68.39
2,ASHOK KUMAR,M  54 SC BJP Lotus  24017  155,,24172,24.81
3,CH. PREM SINGH,M  82 SC INC Hand  5305  31,,5336,5.48
4,RAJBIR,M  57 SC BSP Elephant  806  9,,815,0.84
5,None of the Above,NOTA NOTA  477  4,,481,0.49
TURNOUT,,TOTAL:  96992  444,,97436,69.76
Constituency,49. SANGAM VIHAR,TOTAL ELECTORS :,,164019,
1,DINESH MOHANIYA,M  35 GEN AAAP Broom  72080  51,,72131,65.96
2,SHIV CHARAN LAL GUPTA,M  61 GEN BJP Lotus  28092  51,,28143,25.73
3,VISHAN SWAROOP,M  48 GEN INC Hand  3422  1,,3423,3.13
,AGGARWAL,,,,
4,SHISH PAL SINGH,M  57 GEN BSP Elephant  3142  4,,3146,2.88
5,SHAHID,M  36 GEN IND Battery  503  0,,503,0.46
,,Torch,,,
6,None of the Above,NOTA NOTA  467  0,,467,0.43
7,DINESH PRASAD JAISWAL,M  35 GEN SASAPT Television  322  1,,323,0.3
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
8,SANDEEP KUMAR,M  25 GEN IND Bat  287  0,,287,0.26
9,SUKHVIR SINGH,M  42 GEN IND Gas  241  0,,241,0.22
,,Cylinder,,,
10,PRADEEP CHAND,M  37 GEN SAAFP Brush  179  0,,179,0.16
11,RAMAWATI,F  37 GEN IND Gas Stove  146  0,,146,0.13
12,PRAWEEN PRAKASH,M  40 GEN PMPT Batsman  113  0,,113,0.1
,BHARDWAJ,,,,
13,PRADEEP,M  29 GEN HCP Candles  90  0,,90,0.08
14,NAZUKAR KHAN,M  41 GEN IND Sewing  70  0,,70,0.06
,,Machine,,,
15,PRADEEP KUMAR,M  41 GEN RBCP Iron  60  0,,60,0.05
16,RAMAASARE YADAV,M  30 GEN NADP Stethosco  36  0,,36,0.03
,,pe,,,
TURNOUT,,TOTAL:  109250  108,,109358,66.67
Constituency,50. GREATER KAILASH,TOTAL ELECTORS :,,162072,
1,SAURABH BHARADWAJ,M  33 GEN AAAP Broom  57430  159,,57589,53.3
2,RAKESH KUMAR GULLAIYA,M  45 GEN BJP Lotus  42902  104,,43006,39.81
3,SHARMISTHA MUKHERJEE,F  49 GEN INC Hand  6072  30,,6102,5.65
4,None of the Above,NOTA NOTA  439  4,,443,0.41
5,ADITYA,M  27 SC BSP Elephant  236  3,,239,0.22
6,ASHOK KUMAR,M  45 GEN SAPP Scissors  238  0,,238,0.22
7,SANJAY KHATRI,M  46 GEN IND Battery  228  0,,228,0.21
,,Torch,,,
8,ROHIT TYAGI,M  26 GEN NCP Clock  115  1,,116,0.11
9,ASHOK KUMAR SHARMA,M  58 GEN SHS Bow &  75  1,,76,0.07
,,Arrow,,,
